Date,Price_Nifty50,Open_Nifty50,High_Nifty50,Low_Nifty50,Vol_Nifty50,Change_Nifty50,Price_NiftyBank,Open_NiftyBank,High_NiftyBank,Low_NiftyBank,Vol_NiftyBank,Change_NiftyBank,Price_NiftyFMCG,Open_NiftyFMCG,High_NiftyFMCG,Low_NiftyFMCG,Vol_NiftyFMCG,Change_NiftyFMCG,Price_NiftyIT,Open_NiftyIT,High_NiftyIT,Low_NiftyIT,Vol_NiftyIT,Change_NiftyIT,Price_NiftyMedia,Open_NiftyMedia,High_NiftyMedia,Low_NiftyMedia,Vol_NiftyMedia,Change_NiftyMedia,Price_NiftyMidcap,Open_NiftyMidcap,High_NiftyMidcap,Low_NiftyMidcap,Vol_NiftyMidcap,Change_NiftyMidcap,Price_NiftyPharma,Open_NiftyPharma,High_NiftyPharma,Low_NiftyPharma,Vol_NiftyPharma,Change_NiftyPharma,Price_NiftyPSU,Open_NiftyPSU,High_NiftyPSU,Low_NiftyPSU,Vol_NiftyPSU,Change_NiftyPSU,Price_NiftySmallcap,Open_NiftySmallcap,High_NiftySmallcap,Low_NiftySmallcap,Vol_NiftySmallcap,Change_NiftySmallcap,Content_cleaned
04-06-2023,"18,563.40","18,612.00","18,777.90","18,531.60",1250000000,0.16%,"43,989.00","44,103.25","44,459.25","43,917.90",659760000,0.12%,"50,674.85","51,373.20","51,718.00","50,605.75",88540000,-1.20%,"28,355.35","29,459.15","29,533.40","28,322.15",97080000,-3.32%,"1,763.50","1,796.25","1,817.70","1,761.15",1000000,-1.18%,"12,814.80","12,762.05","12,949.60","12,689.25",1000000,0.86%,"12,861.05","12,958.50","13,087.60","12,849.85",82730000,-0.31%,"4,035.30","4,109.70","4,126.35","4,026.50",491200000,-1.41%,"10,164.25","10,102.80","10,277.85","10,063.95",1000000,1.20%,india equity market end week green despite profit booking today.indian equity market witnessed selling pressure today. however weekly gain market positive aided rise first half week. rbi continued pause rate hike decided keep repo rate unchanged 6.50%. week ended flat nifty 50 gaining 0.2% underperforming nifty midcap 150 index nifty small cap 250 index gained 0.9% 1.2% respectively.sectoral index mixed bag nifty auto nifty realty nifty metal gaining i.e 1.6% 1.5% 1.4% respectively. nifty nifty psu bank nifty fmcg fell losing 3.3% 1.4% 1.2% respectively.
11-06-2023,"18,826.00","18,595.05","18,864.70","18,559.75",1210000000,1.41%,"43,938.15","44,035.20","44,212.35","43,397.50",868930000,-0.12%,"52,440.20","50,792.10","52,540.50","50,553.25",130139999,3.48%,"28,588.80","28,457.45","28,974.15","28,402.55",124860000,0.82%,"1,806.20","1,774.75","1,836.45","1,761.90",1000000,2.42%,"13,192.90","12,855.10","13,212.35","12,798.85",1000000,2.95%,"13,241.95","12,850.45","13,278.50","12,796.05",108670000,2.96%,"4,041.55","4,045.10","4,082.20","3,976.65",509620000,0.15%,"10,450.10","10,205.20","10,478.00","10,175.10",1000000,2.81%,banking index reach new high indian market rally account positive global sentiments.indian market rallied global sentiment improved expectation fed le hawkish rate cuts. fed left policy rate unchanged thursday. positive rally could seen across index large cap index nifty 50 gaining 1.4%. nifty midcap 150 index nifty small cap 250 index soared gained 3.0% 2.8% respectively.sectorally bank pharma reported high one day gain weektoweek basis nifty bank index ended red. sectoral index ended green. highest gainer week nifty realty nifty fmcg nifty healthcare gaining 3.7% 3.5% 3.4% respectively. nifty bank lost 0.1% nifty financial service nifty fell bottom gaining 0.2% 0.8% respectively.
25-06-2023,"19,189.05","18,682.35","19,201.70","18,646.70",1040000000,2.80%,"44,747.35","43,714.75","44,787.10","43,541.75",693080000,2.58%,"52,194.75","51,415.95","52,239.05","51,346.90",79360000,1.78%,"29,563.00","28,539.80","29,594.20","28,451.15",67810000,3.53%,"1,743.80","1,741.80","1,764.10","1,727.70",1000000,0.17%,"13,401.45","13,082.20","13,411.95","13,033.05",1000000,2.48%,"13,767.50","13,193.70","13,805.05","13,176.20",118260000,4.41%,"4,110.20","3,996.55","4,114.95","3,962.30",466970000,2.95%,"10,544.20","10,357.75","10,559.35","10,330.70",1000000,1.92%,positive global cue resilience indian economy drive equity market week. indian equity market reached record high today nifty 50 reaching strongest week 11 months. major factor led rally positive headwind u economy especially boosted sector robust fii flow good corporate result positive macroeconomics fundamental indian economy. result broadbased benchmark nifty 50 gained almost 2.8% outperforming nifty midcap 150 index nifty small cap 250 index gained 2.5% 1.9% respectively. almost sectoral index positive week. nifty pharma nifty auto nifty top gainer rising 4.4% 4.1% 3.5% respectively. sectoral index registered least gain nifty medium nifty oil gas nifty consumer durables gaining 0.2% 1.4% 1.8% respectively.
02-07-2023,"19,331.80","19,246.50","19,523.60","19,234.40",1180000000,0.74%,"44,925.00","44,957.95","45,655.50","44,844.80",1520000000,0.40%,"52,942.45","52,299.00","53,971.25","52,061.10",121760000,1.43%,"29,560.45","29,648.40","29,937.75","29,334.40",96830000,-0.01%,"1,895.55","1,751.20","1,908.85","1,742.15",1000000,8.70%,"13,490.70","13,472.75","13,609.90","13,387.00",1000000,0.67%,"13,769.00","13,796.55","13,917.55","13,578.35",109750000,0.01%,"4,459.10","4,131.95","4,486.15","4,126.35",1750000000,8.49%,"10,777.35","10,604.45","10,847.70","10,604.00",1000000,2.21%,indian equity market logged weekly gain despite weak global cues.indian equity market fell reaching record high first half day concern monetary tightening u federal reserve. however weekly basis indian index logged gains. broadbased nifty 50 index gained 0.74% week outperforming nifty midcap 150 index gained 0.64% underperforming nifty small cap 250 index grew 2.21%.except nifty sectoral index positive week. nifty medium nifty psu bank nifty oil gas top gainer gaining 8.7% 8.5% 4.3% respectively. nifty nifty pharma nifty financial service index bottom. nifty index lost 0.01% nifty pharma nifty financial service registered negligible gain 0.01% 0.1% respectively.
09-07-2023,"19,564.50","19,400.35","19,595.35","19,327.10",1450000000,1.20%,"44,819.30","44,958.65","45,184.30","44,547.80",1200000000,-0.24%,"53,453.70","53,071.35","53,567.65","52,484.50",95440000,0.97%,"30,945.50","29,609.85","31,017.55","29,020.20",153750000,4.69%,"1,927.40","1,907.05","1,932.55","1,843.95",1000000,1.68%,"13,657.45","13,530.30","13,669.05","13,410.45",1000000,1.24%,"13,945.65","13,811.15","13,980.05","13,705.35",93830000,1.28%,"4,390.30","4,478.55","4,522.40","4,331.60",1090000000,-1.54%,"10,962.95","10,820.00","10,977.55","10,728.90",1000000,1.72%,indian equity market logged weekly gain strong global cues.indian market gained friday account positive global sentiment led belief u monetary tightening cycle near end. broadbased nifty 50 index gained 1.20% week underperforming nifty midcap 150 index gained 1.24% outperforming nifty small cap 250 index grew 1.72%sectoral index mixed bag. nifty medium nifty metal nifty highest gainer rising 1.7% 3.0% 4.7% respectively. nifty consumer durables nifty bank nifty financial service bottom losing 0.5% 0.24% 0.18% respectively.
16-07-2023,"19,745.00","19,612.15","19,991.85","19,562.95",1400000000,0.92%,"46,075.20","44,951.20","46,369.50","44,695.05",1370000000,2.80%,"53,697.45","53,536.35","54,349.85","53,078.55",122240000,0.46%,"29,871.05","31,007.60","31,658.10","29,701.20",216890000,-3.47%,"1,984.15","1,928.35","2,007.45","1,926.35",1000000,2.94%,"13,772.85","13,701.85","13,812.25","13,627.70",1000000,0.84%,"14,274.00","13,979.40","14,363.90","13,926.80",93680000,2.35%,"4,564.25","4,403.90","4,611.40","4,383.55",1510000000,3.96%,"11,110.55","11,021.25","11,126.20","10,926.30",1000000,1.35%,sell drag indian markets.indian market fell friday due sell stock account weakness global markets. broadbased nifty 50 index fell 0.4% week. nifty midcap 150 flat gaining 0.02% nifty small cap 250 index slightly positive gaining 0.6%.sectoral index mixed bag. nifty nifty consumer durables nifty metal fell losing 4.7% 1.5% 0.5% respectively. nifty pharma nifty bank nifty healthcare index gained i.e. 1.3% 0.9% 0.9% respectively.
23-07-2023,"19,646.05","19,748.45","19,867.55","19,563.10",1470000000,-0.50%,"45,468.10","46,131.90","46,310.10","45,238.80",1270000000,-1.32%,"52,964.05","53,843.95","53,882.25","52,002.75",204150000,-1.37%,"29,490.25","29,993.85","30,112.90","29,339.35",111330000,-1.27%,"2,052.55","1,996.50","2,060.90","1,958.00",1000000,3.45%,"13,976.00","13,805.85","13,985.05","13,746.50",1000000,1.48%,"14,962.55","14,261.25","15,105.65","14,236.20",146970000,4.82%,"4,605.85","4,585.30","4,647.95","4,483.85",1130000000,0.91%,"11,239.10","11,158.80","11,259.55","11,126.15",1000000,1.16%,weak trend u market drag indian markets.indian market closed almost flat minor loss u concern rate hike reignited week. broadbased nifty 50 index fell 0.5% week underperforming mid small cap showed resistance registering minor gains. nifty midcap 150 flat gained 1.5% nifty small cap 250 index gained 1.2%.sectoral index mixed bag. sell financial sector dragged nifty nifty bank index today. week nifty fmcg nifty bank nifty fell losing 1.4% 1.3% 1.3% respectively. nifty realty nifty pharma nifty medium gained i.e. 5.0% 4.8% 3.4% respectively.
30-07-2023,"19,517.00","19,666.35","19,795.60","19,296.45",1480000000,-0.66%,"44,879.50","45,546.35","45,782.75","44,279.40",1150000000,-1.29%,"52,050.65","52,953.15","53,021.50","51,943.05",121190000,-1.72%,"30,436.10","29,605.50","30,555.80","29,452.35",102280000,3.21%,"2,047.40","2,060.65","2,080.75","2,007.95",1000000,-0.25%,"14,079.30","14,000.65","14,200.00","13,857.85",1000000,0.74%,"15,241.00","14,935.60","15,302.25","14,831.90",142640000,1.86%,"4,419.10","4,621.20","4,643.95","4,403.30",987290000,-4.05%,"11,317.75","11,297.05","11,420.50","11,137.30",1000000,0.70%,indian equity market gained friday despite negative global sentiments.indias service sector pmi climbed 13 year high signaling increase output sustained strong demand new business gains. led slight rise market despite negative global cues. however weekly basis broadbased nifty 50 index fell 0.7% underperforming nifty midcap 150 index nifty small cap 250 index gained 0.74% 0.70% respectively.sectoral index mixed bag nifty nifty pharma nifty consumer durables ending week green gaining 3.2% 1.9% 1.0% respectively. rest index ended week red. nifty realty nifty psu bank nifty fmcg bottom losing 4.2% 4.1% 1.7% respectively.
06-08-2023,"19,428.30","19,576.85","19,645.50","19,412.75",1290000000,-0.45%,"44,199.10","44,993.70","45,096.85","44,120.90",1040000000,-1.52%,"51,351.70","51,973.05","52,257.65","51,265.50",118170000,-1.34%,"30,819.15","30,582.45","31,164.30","30,451.35",94530000,1.26%,"2,200.10","2,055.40","2,269.40","2,038.10",1000000,7.46%,"14,190.30","14,120.25","14,297.10","14,080.95",1000000,0.79%,"15,355.50","15,276.05","15,750.50","15,214.85",194000000,0.75%,"4,555.75","4,421.60","4,613.40","4,385.15",1550000000,3.09%,"11,376.50","11,395.50","11,487.35","11,300.30",1000000,0.52%,indian equity market post rbi monetary policythe rbi monetary policy decided keep rate unchanged 6.5%. however rbi decided incrementally increase crr intend absorb surplus liquidity system. triggered selfoff dragging nifty 50 index 0.45%. mid small cap resilient week nifty midcap 150 index nifty small cap 250 index registered gain 0.8% 0.5% respectively.sectoral index mixed bag nifty medium nifty consumer durables nifty gaining i.e. 7.5% 1.4% 1.3% respectively. nifty bank nifty realty nifty financial service fell losing 1.5% 1.5% 1.4% respectively.
13-08-2023,"19,310.15","19,383.95","19,482.75","19,253.60",995280000,-0.61%,"43,851.05","44,066.60","44,212.75","43,600.35",765290000,-0.79%,"51,464.75","51,350.55","51,869.75","50,984.60",103350000,0.22%,"30,604.05","30,755.80","31,304.75","30,515.00",71340000,-0.70%,"2,251.55","2,216.30","2,258.55","2,167.80",1000000,2.34%,"14,193.45","14,181.00","14,258.05","13,985.30",1000000,0.02%,"15,271.50","15,349.80","15,450.60","15,192.25",83140000,-0.55%,"4,603.85","4,555.65","4,642.20","4,437.15",1350000000,1.06%,"11,338.05","11,369.95","11,426.70","11,176.10",1000000,-0.34%,indian equity market due weak global cue high cpi inflationmarket sentiment negative due domestic global cues. cpi inflation rose sharply 7.44% july 4.87% last month breaching rbi inflation band 2% 6%. globally concern higher inflation rate u slowing chinese economy dampened investor sentiments. result broadbased nifty 50 index fell 0.6%. midcaps flat small cap marginally tad better large cap representative index nifty midcap 150 gained 0.02% nifty small cap 250 index fell 0.3% week.sectoral index mixed bag nifty medium nifty psu bank nifty consumer gaining i.e. 2.3% 1.1% 0.5% respectively. nifty metal nifty financial service nifty oil gas fell losing 2.9% 1.2% 0.9% respectively.
